"Tailsign","MSN","Aircraft Type","EIS","RFS","Configuration","Platform","Connectivity","Tail Type"
"JBU1TEST","0","A320","2018-03-15","-","JBU A320","AVANT","N","Maintenance"
"N178JB","4","E190","2005-12-20","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N179JB","6","E190","2005-10-02","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N183JB","7","E190","2005-09-15","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N184JB","8","E190","2005-10-26","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N187JB","9","E190","2005-11-11","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N190JB","11","E190","2005-12-06","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N192JB","14","E190","2005-12-20","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N193JB","17","E190","2005-01-08","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N197JB","20","E190","2006-02-12","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N198JB","21","E190","2006-03-02","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N203JB","23","E190","2006-03-22","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N206JB","25","E190","2006-04-24","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N216JB","26","E190","2006-05-01","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N228JB","30","E190","2006-05-26","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N229JB","32","E190","2006-06-12","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N231JB","33","E190","2006-06-17","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N236JB","35","E190","2006-07-04","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N238JB","39","E190","2006-07-24","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N239JB","40","E190","2006-08-18","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N247JB","42","E190","2006-08-26","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N249JB","45","E190","2006-09-18","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N258JB","47","E190","2006-10-09","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N265JB","49","E190","2006-11-13","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N266JB","54","E190","2007-02-19","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N267JB","65","E190","2007-03-05","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N273JB","73","E190","2007-05-11","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N274JB","82","E190","2007-06-26","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N279JB","90","E190","2007-07-28","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N281JB","103","E190","2007-09-24","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N283JB","125","E190","2007-11-15","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N284JB","144","E190","2008-01-28","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N292JB","179","E190","2008-06-13","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N294JB","185","E190","2008-06-29","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N296JB","219","E190","2008-11-08","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N298JB","249","E190","2009-03-15","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N304JB","257","E190","2009-03-20","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N306JB","272","E190","2009-04-24","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N307JB","286","E190","2009-06-13","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N309JB","289","E190","2009-06-13","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N316JB","292","E190","2009-06-27","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N317JB","363","E190","2010-07-02","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N318JB","364","E190","2010-07-04","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N323JB","384","E190","2010-10-03","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N324JB","388","E190","2010-10-29","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N328JB","422","E190","2011-03-26","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N329JB","433","E190","2011-05-07","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N334JB","446","E190","2011-07-25","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N337JB","473","E190","2011-09-25","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N339JB","490","E190","2011-11-14","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N346JB","504","E190","2012-01-30","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N348JB","511","E190","2012-02-14","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N351JB","549","E190","2012-06-29","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N353JB","576","E190","2012-10-27","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N354JB","601","E190","2013-03-07","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N355JB","617","E190","2013-04-28","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N358JB","618","E190","2013-05-04","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N368JB","623","E190","2013-05-25","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N373JB","624","E190","2013-05-29","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N374JB","629","E190","2013-07-01","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N375JB","637","E190","2013-11-03","2025-02-01","JBU E190","LTV2","Y","Commercial"
"N503JB","1123","A320","2000-02-08","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N504JB","1156","A320","2000-02-15","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N505JB","1173","A320","2000-03-08","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N506JB","1235","A320","2000-06-14","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N507JB","D1240","A320","2000-06-21","2010-08-01","JBU A320","LTV2","Y","Commercial"
"N507JT","1240","A320","2010-12-11","2025-02-01","JBU A320","LTV2","N","Commercial"
"N508JB","D1257","A320","2000-07-10","2010-08-01","JBU A320","LTV2","Y","Commercial"
"N508JL","1257","A320","2011-01-16","2025-02-01","JBU A320","LTV2","N","Commercial"
"N509JB","1270","A320","2000-08-02","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N510JB","1280","A320","2000-08-16","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N516JB","1302","A320","2000-10-10","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N517JB","1327","A320","2000-11-13","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N519JB","1398","A320","2001-02-14","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N520JB","1446","A320","2001-04-16","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N521JB","1452","A320","2001-04-25","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N523JB","1506","A320","2001-07-17","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N524JB","1528","A320","2001-08-07","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N526JB","D1546","A320","2001-08-29","2010-08-01","JBU A320","LTV2","Y","Commercial"
"N526JL","1546","A320","2010-10-16","2025-02-01","JBU A320","LTV2","N","Commercial"
"N527JB","D1557","A320","2001-09-12","2010-08-01","JBU A320","LTV2","Y","Commercial"
"N527JL","1557","A320","2010-09-01","2025-02-01","JBU A320","LTV2","N","Commercial"
"N529JB","1610","A320","2001-11-14","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N531JB","D1650","A320","2001-12-13","2010-08-01","JBU A320","LTV2","Y","Commercial"
"N531JL","1650","A320","2010-09-15","2025-02-01","JBU A320","LTV2","N","Commercial"
"N534JB","1705","A320","2002-02-28","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N535JB","1739","A320","2002-03-27","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N536JB","1784","A320","2002-05-31","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N537JB","D1785","A320","2002-06-20","2010-08-01","JBU A320","LTV2","Y","Commercial"
"N537JT","1785","A320","2010-11-07","2025-02-01","JBU A320","LTV2","N","Commercial"
"N547JB","1849","A320","2002-09-16","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N552JB","1861","A320","2002-12-23","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N554JB","1898","A320","2002-12-10","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N556JB","1904","A320","2002-12-29","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N558JB","1915","A320","2003-02-05","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N559JB","1917","A320","2003-02-12","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N561JB","1927","A320","2003-02-19","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N562JB","1948","A320","2003-03-19","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N563JB","2006","A320","2003-05-28","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N564JB","2020","A320","2003-06-11","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N565JB","2031","A320","2003-06-25","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N566JB","2042","A320","2003-07-09","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N568JB","2063","A320","2003-08-08","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N569JB","2075","A320","2003-09-08","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N570JB","2099","A320","2003-10-08","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N571JB","2125","A320","2003-11-12","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N579JB","2132","A320","2003-11-19","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N580JB","2136","A320","2003-11-26","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N583JB","2150","A320","2004-01-14","2025-02-01","JBU A320","LTV2","Y","Commercial"
"N584JB","2149","A320","2004-01-21","2025-02-01","JBU A320","LTV2","Y","Commercial"
